Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Census - internal migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE (UR) by LGA (1YRS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counting: Person Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Summation,Person Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA (1YRS),Alpine (S),Ararat (RC),Ballarat (C),Banyule (C),Bass Coast (S),Baw Baw (S),Bayside (C),Benalla (RC),Boroondara (C),Brimbank (C),Buloke (S),Campaspe (S),Cardinia (S),Casey (C),Central Goldfields (S),Colac-Otway (S),Corangamite (S),Darebin (C),East Gippsland (S),Frankston (C),Gannawarra (S),Glen Eira (C),Glenelg (S),Golden Plains (S),Greater Bendigo (C),Greater Dandenong (C),Greater Geelong (C),Greater Shepparton (C),Hepburn (S),Hindmarsh (S),Hobsons Bay (C),Horsham (RC),Hume (C),Indigo (S),Kingston (C),Knox (C),Latrobe (C),Loddon (S),Macedon Ranges (S),Manningham (C),Mansfield (S),Maribyrnong (C),Maroondah (C),Melbourne (C),Melton (C),Mildura (RC),Mitchell (S),Moira (S),Monash (C),Moonee Valley (C),Moorabool (S),Moreland (C),Mornington Peninsula (S),Mount Alexander (S),Moyne (S),Murrindindi (S),Nillumbik (S),Northern Grampians (S),Port Phillip (C),Pyrenees (S),Queenscliffe (B),South Gippsland (S),Southern Grampians (S),Stonnington (C),Strathbogie (S),Surf Coast (S),Swan Hill (RC),Towong (S),Wangaratta (RC),Warrnambool (C),Wellington (S),West Wimmera (S),Whitehorse (C),Whittlesea (C),Wodonga (C),Wyndham (C),Yarra (C),Yarra Ranges (S),Yarriambiack (S),Capital City Undefined (Greater Melbourne),Unincorporated Vic,No Usual Address (Vic.),Migratory - Offshore - Shipping (Vic.),State Undefined (Vic.),Total
STATE (UR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,113,26,303,351,120,126,412,79,666,451,22,458,283,649,30,48,40,727,170,308,65,640,67,51,287,416,617,250,42,16,340,44,625,296,472,294,159,31,158,252,52,448,244,1443,307,597,197,420,616,415,66,912,782,61,46,48,121,25,845,37,4,83,24,879,51,123,231,110,178,118,246,6,491,572,1125,991,834,271,19,155,17,11,0,146,24883
Queensland,77,38,459,599,228,301,577,60,738,425,19,169,523,1240,55,111,50,583,208,640,38,709,73,122,523,372,1212,324,98,16,515,120,696,79,792,583,315,26,274,402,39,485,408,1091,570,378,364,185,591,634,151,795,1125,43,62,52,252,39,1039,30,13,155,54,717,32,262,106,31,108,199,267,18,553,661,495,1334,637,540,25,164,27,16,0,211,29320
South Australia,19,20,123,105,28,47,79,8,227,253,0,28,78,291,14,26,25,261,33,99,6,185,139,18,130,301,263,86,16,28,146,76,219,10,141,100,41,7,40,111,24,186,92,431,151,492,92,26,255,193,37,342,103,36,28,7,49,29,244,4,0,19,76,167,7,42,62,10,14,61,86,85,187,231,102,554,190,108,24,23,15,6,0,56,8758
Western Australia,24,12,115,171,62,85,162,26,259,114,6,66,103,405,10,38,35,283,61,142,10,195,31,36,136,143,346,75,19,14,177,26,227,35,180,143,104,18,57,118,24,193,98,488,123,88,45,36,202,215,43,349,429,20,39,37,45,17,370,4,0,54,10,276,6,53,37,14,25,65,143,5,185,191,76,404,338,153,4,62,5,9,0,58,9329
Tasmania,18,7,87,79,11,23,87,9,143,174,0,18,70,192,4,14,9,239,13,89,4,114,10,9,81,163,158,40,5,3,104,9,176,4,96,46,22,0,37,38,11,111,50,262,91,20,18,13,151,99,8,394,123,9,6,7,26,12,138,0,6,11,9,124,17,43,11,6,25,22,23,3,152,166,31,342,123,55,5,24,6,0,0,34,5209
Northern Territory,17,3,67,63,18,23,28,5,47,69,3,32,58,98,13,9,8,140,28,65,13,44,13,16,90,68,170,27,12,9,33,16,58,16,48,54,23,0,23,25,10,60,28,125,45,35,81,20,78,65,15,162,164,7,18,0,30,4,91,5,0,14,3,44,16,48,22,3,17,28,54,4,66,81,96,132,76,53,5,23,3,0,0,28,3391
Australian Capital Territory,7,8,26,83,9,10,63,3,209,115,0,12,43,140,0,8,0,197,12,23,0,141,4,3,39,101,142,22,11,0,91,4,84,16,95,44,6,0,23,66,0,101,40,318,55,20,33,11,194,101,15,288,91,5,5,0,33,3,125,0,5,0,0,133,0,15,9,8,13,11,65,0,155,97,72,294,111,19,6,18,0,0,0,23,4359
Other Territories,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,22
Total,272,110,1172,1463,473,616,1419,193,2297,1615,59,789,1162,3014,131,253,168,2425,530,1365,129,2029,333,262,1284,1562,2914,823,216,75,1415,291,2085,455,1821,1260,675,87,612,1017,158,1581,960,4159,1335,1622,831,702,2078,1708,343,3238,2813,184,196,159,550,126,2856,84,20,343,182,2346,128,588,471,180,375,500,885,124,1788,1993,1992,4052,2310,1201,82,470,72,38,0,553,85279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,